Experiment: data_t vial 3, Fri Sep  1 15:55:09 2023
0.0003,0.4211854267052672
0.0049,0.4312903455370854
0.0106,0.4250484409023511
0.0163,0.41811565744508417
0.0221,0.4173510421618858
0.0278,0.41964827096383556
0.0335,0.42041627867160747
0.0392,0.4173510421618858
0.0449,0.4219557198694626
0.0506,0.4188813988048908
0.0564,0.4227271629966467
0.0621,0.42041627867160747
0.0678,0.4227271629966467
0.0735,0.4234997609472959
0.0792,0.41964827096383556
0.0849,0.4211854267052672
0.0906,0.4266017991874063
0.0963,0.4234997609472959
0.102,0.4173510421618858
0.1078,0.42041627867160747
0.1135,0.42041627867160747
0.1192,0.42041627867160747
0.1249,0.4211854267052672
0.1306,0.4211854267052672
0.1363,0.4250484409023511
0.1421,0.42041627867160747
0.1478,0.4211854267052672
0.1535,0.4227271629966467
0.1592,0.4173510421618858
0.1649,0.41964827096383556
0.1707,0.4188813988048908
0.1764,0.4227271629966467
0.1821,0.41964827096383556
0.1878,0.4211854267052672
0.1935,0.4211854267052672
0.1992,0.4312903455370854
0.2049,0.4312903455370854
0.2107,0.42738024515902373
0.2164,0.4344401792258174
0.2221,0.43050592569885887
0.2278,0.42972271088007413
0.2335,0.4289406959274494
0.2392,0.4250484409023511
0.2449,0.4289406959274494
0.2506,0.42815987571804537
0.2563,0.4234997609472959
0.2621,0.42427351861013324
0.2678,0.4234997609472959
0.2735,0.42427351861013324
0.2792,0.42427351861013324
0.2849,0.42738024515902373
0.2907,0.42815987571804537
0.2964,0.4266017991874063
0.3021,0.4234997609472959
0.3078,0.4234997609472959
0.3136,0.4227271629966467
0.3193,0.4250484409023511
0.325,0.4227271629966467
0.3307,0.42738024515902373
0.3364,0.42815987571804537
0.3421,0.4227271629966467
0.3478,0.4250484409023511
0.3535,0.4266017991874063
0.3592,0.43050592569885887
0.365,0.42738024515902373
0.3707,0.42738024515902373
0.3764,0.3941819303790275
0.3821,0.39932627639385193
0.3878,0.4067620844898527
0.3935,0.42041627867160747
0.3992,0.4234997609472959
