Experiment: data_t vial 4, Fri Sep  1 15:55:09 2023
0.0003,0.9860684031790823
0.0049,0.5052360430397079
0.0106,0.5068762714474041
0.0163,0.5085160013079498
0.0221,0.5035953118030966
0.0278,0.5068762714474041
0.0335,0.5068762714474041
0.0392,0.5076961984287554
0.0449,0.504415740542923
0.0506,0.5101552368955833
0.0564,0.5011332627588858
0.0621,0.5085160013079498
0.0678,0.504415740542923
0.0735,0.506056219829383
0.0792,0.506056219829383
0.0849,0.5052360430397079
0.0906,0.5019540734482066
0.0963,0.5035953118030966
0.102,0.5019540734482066
0.1078,0.506056219829383
0.1135,0.506056219829383
0.1192,0.504415740542923
0.1249,0.5068762714474041
0.1306,0.5076961984287554
0.1363,0.5027747562838202
0.1421,0.5003123236780052
0.1478,0.5011332627588858
0.1535,0.5052360430397079
0.1592,0.5068762714474041
0.1649,0.5052360430397079
0.1707,0.5076961984287554
0.1764,0.504415740542923
0.1821,0.5076961984287554
0.1878,0.5068762714474041
0.1935,0.5019540734482066
0.1992,0.5076961984287554
0.2049,0.5035953118030966
0.2107,0.5076961984287554
0.2164,0.506056219829383
0.2221,0.5027747562838202
0.2278,0.5035953118030966
0.2335,0.504415740542923
0.2392,0.5019540734482066
0.2449,0.5068762714474041
0.2506,0.5035953118030966
0.2563,0.5052360430397079
0.2621,0.5027747562838202
0.2678,0.5019540734482066
0.2735,0.5019540734482066
0.2792,0.5052360430397079
0.2849,0.5052360430397079
0.2907,0.506056219829383
0.2964,0.5035953118030966
0.3021,0.506056219829383
0.3078,0.506056219829383
0.3136,0.5003123236780052
0.3193,0.504415740542923
0.325,0.49949125566722513
0.3307,0.4986700581877178
0.3364,0.504415740542923
0.3421,0.5027747562838202
0.3478,0.497848730700165
0.3535,0.5052360430397079
0.3592,0.5052360430397079
0.365,0.5035953118030966
0.3707,0.5011332627588858
0.3764,0.4945621098658289
0.3821,0.49374012423093927
0.3878,0.5003123236780052
0.3935,0.49949125566722513
0.3992,0.506056219829383
