Experiment: data_t vial 0, Fri Sep  1 15:55:09 2023
0.0003,0.7272567641539396
0.0049,0.7620657460389882
0.0106,0.7328138091286479
0.0163,0.7328138091286479
0.0221,0.7300122577597228
0.0278,0.7356630000040043
0.0335,0.7371059770614727
0.0392,0.7286288495082749
0.0449,0.7371059770614727
0.0506,0.7342323475974322
0.0564,0.7205598384498307
0.0621,0.7356630000040043
0.0678,0.7356630000040043
0.0735,0.7400297759056792
0.0792,0.7328138091286479
0.0849,0.7400297759056792
0.0906,0.7371059770614727
0.0963,0.7430055443418456
0.102,0.7342323475974322
0.1078,0.7286288495082749
0.1135,0.763756732348401
0.1192,0.7371059770614727
0.1249,0.7371059770614727
0.1306,0.7400297759056792
0.1363,0.7385614950285109
0.1421,0.7314071792421065
0.1478,0.7342323475974322
0.1535,0.7445135065038844
0.1592,0.7314071792421065
0.1649,0.7445135065038844
0.1707,0.7460351812405531
0.1764,0.7491206914747278
0.1821,0.7415110476405123
0.1878,0.7491206914747278
0.1935,0.7445135065038844
0.1992,0.75226419395944
0.2049,0.7460351812405531
0.2107,0.7430055443418456
0.2164,0.7445135065038844
0.2221,0.7415110476405123
0.2278,0.7587342753210363
0.2335,0.7430055443418456
0.2392,0.7724784922564407
0.2449,0.7430055443418456
0.2506,0.7385614950285109
0.2563,0.7400297759056792
0.2621,0.7258958160436094
0.2678,0.7415110476405123
0.2735,0.7415110476405123
0.2792,0.7506850565634182
0.2849,0.7538583877924832
0.2907,0.7554679304686849
0.2964,0.7689349229297393
0.3021,0.7475708225306941
0.3078,0.7506850565634182
0.3136,0.7286288495082749
0.3193,0.7491206914747278
0.325,0.75226419395944
0.3307,0.7506850565634182
0.3364,0.7445135065038844
0.3421,0.7506850565634182
0.3478,0.7430055443418456
0.3535,0.75226419395944
0.3592,0.7475708225306941
0.365,0.7385614950285109
0.3707,0.7475708225306941
0.3764,0.7245458240526611
0.3821,0.7232066114388637
0.3878,0.7286288495082749
0.3935,0.7460351812405531
0.3992,0.7430055443418456
