Experiment: data vial 0, Tue Sep  5 06:33:00 2023
0.0003,nan
0.0036,nan
0.0114,-0.35022834007602544
0.0172,-0.35250516708139074
0.023,-0.35190370947712585
0.0288,-0.35190370947712585
0.0345,-0.34939541579368466
0.0402,-0.3511841294688353
0.0459,-0.35010915785070623
0.0516,-0.34999004011177587
0.0573,-0.3491580145585006
0.063,-0.3486839772978818
0.0687,-0.34939541579368466
0.0744,-0.3486839772978818
